City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,jalai nur,49.45,117.7,266.47,69,14,1.85,CN,1730755002
122,bikenibeu village,1.3673,173.1241,303.13,70,40,3.09,KI,1730755003
123,ixtapa,20.7,-105.2,301.61,74,40,5.14,MX,1730755004
124,boonville,38.9736,-92.7432,292.25,97,100,2.57,US,1730755006
125,chibougamau,49.9168,-74.3659,272.94,100,100,5.14,CA,1730754754
126,port blair,11.6667,92.75,298.17,94,40,4.63,IN,1730755008
127,puerto ayora,-0.7393,-90.3518,294.78,66,98,5.81,EC,1730755009
128,port mathurin,-19.6833,63.4167,296.8,78,93,5.37,MU,1730755010
129,iqaluit,63.7506,-68.5145,268.0,74,100,2.06,CA,1730755012
130,newman,37.3138,-121.0208,293.73,32,0,3.58,US,1730755013
131,port elizabeth,-33.918,25.5701,285.55,99,75,3.6,ZA,1730754848
132,trinidad,-14.8333,-64.9,308.14,49,40,6.17,BO,1730754932
133,plettenberg bay,-34.0527,23.3716,285.37,82,99,4.15,ZA,1730755018
134,ancud,-41.8697,-73.8203,283.87,92,100,9.62,CL,1730754978
135,kone,-21.0595,164.8658,299.24,58,25,1.42,NC,1730755020
136,zakynthos,37.7914,20.8953,292.09,69,2,2.28,GR,1730755022
137,shingu,33.7333,135.9833,289.99,81,97,2.13,JP,1730755024
138,kargat,55.1956,80.2811,272.14,68,49,5.78,RU,1730755025
139,polyarnyy,69.1989,33.4478,272.11,82,61,9.23,RU,1730755026
140,fort bragg,35.139,-79.006,296.43,61,0,3.6,US,1730754770
141,mount pearl,47.5166,-52.7813,274.9,65,100,6.69,CA,1730755029
142,villa gesell,-37.2639,-56.973,289.29,80,99,6.11,AR,1730755030
143,mizdah,31.4451,12.9801,291.19,47,28,2.7,LY,1730754832
144,obo,5.3998,26.4869,294.19,95,100,1.38,CF,1730755032
145,san agustin de valle fertil,-30.6335,-67.4682,301.72,27,0,6.52,AR,1730755033
146,inari,68.906,27.0288,271.37,85,100,1.82,FI,1730755035
147,hermanus,-34.4187,19.2345,285.49,72,18,4.83,ZA,1730755036
148,haiku-pauwela,20.9219,-156.3051,300.16,83,40,10.8,US,1730755037
149,al jawf,29.5,38.75,290.37,47,2,2.75,SA,1730755038
150,kununurra,-15.7667,128.7333,299.14,73,0,2.06,AU,1730754985
151,yarmouth,41.7057,-70.2286,284.34,73,75,2.06,US,1730755040
152,blama,7.8736,-11.3433,297.89,87,100,1.3,SL,1730755042
153,oodweyne,9.4092,45.064,295.67,60,34,3.53,SO,1730755043
154,colonia menno,-22.3667,-59.8167,307.21,41,91,3.34,PY,1730755044
155,miramichi,47.0043,-65.4654,275.7,56,100,1.85,CA,1730755045
156,humberto de campos,-2.5983,-43.4611,299.24,73,86,3.46,BR,1730755046
157,ohangaron,40.9064,69.6383,289.29,57,100,2.07,UZ,1730755048
158,guararapes,-21.2608,-50.6428,298.4,79,89,4.63,BR,1730755049
159,gorontalo,0.5412,123.0595,296.65,94,100,0.7,ID,1730755050
160,tolanaro,-25.0319,46.9987,297.19,88,20,9.26,MG,1730755051
161,san jose del cabo,23.0589,-109.6977,300.95,58,40,6.17,MX,1730755052
162,north ward,-19.2454,146.8075,299.1,69,40,1.03,AU,1730755053
163,mazatlan,23.2167,-106.4167,302.13,66,40,5.14,MX,1730754818
164,crane,31.3974,-102.3501,292.22,24,89,11.65,US,1730755056
165,caleta de carquin,-11.0925,-77.6267,293.26,80,51,4.79,PE,1730754810
166,verkhnedneprovskiy,54.9813,33.3457,272.29,87,100,4.78,RU,1730755058
167,new norfolk,-42.7826,147.0587,284.66,66,7,1.38,AU,1730755059
168,kosh-agach,50.0,88.6667,267.33,83,61,1.77,RU,1730755060
169,kouvola,60.8667,26.7,271.61,99,40,2.06,FI,1730755062
170,kolonia town,6.964,158.206,302.21,78,40,1.54,FM,1730755063
171,kopong,-24.4833,25.8833,304.28,18,0,2.06,BW,1730755064
172,akjoujt,19.6969,-14.4164,303.53,15,4,3.59,MR,1730755067
173,federacion,-31.0062,-57.8996,295.24,89,95,9.6,AR,1730755068
174,enewetak,11.3474,162.3373,301.38,76,98,5.29,MH,1730755069
175,nehe,48.4833,124.8333,268.15,66,84,4.68,CN,1730755070
176,stanley,54.868,-1.6985,282.33,88,75,0.0,GB,1730754825
177,strezhevoy,60.7333,77.5889,270.72,86,97,7.54,RU,1730755072
178,ust'-kulom,61.6864,53.6902,267.98,86,41,2.67,RU,1730755074
179,buta,2.7858,24.73,294.44,99,100,0.74,CD,1730755075
180,mopti,14.6667,-4.0,302.96,15,99,4.15,ML,1730755076
181,mpika,-11.8343,31.4529,293.84,57,6,2.42,ZM,1730755077
182,saudarkrokur,65.7461,-19.6394,277.94,86,86,1.1,IS,1730755078
183,sitka,57.0531,-135.33,279.09,75,100,5.66,US,1730754979
184,qashyr,53.0675,76.1036,272.22,70,27,4.62,KZ,1730755080
185,gubakha,58.8386,57.5532,268.24,97,100,1.3,RU,1730755082
186,zouerate,22.7187,-12.4521,302.89,13,100,0.3,MR,1730755083
187,santanyi,39.3546,3.1291,292.82,92,4,3.41,ES,1730755084
188,sisimiut,66.9395,-53.6735,267.26,85,99,3.36,GL,1730755085
189,zyryanskoye,56.8306,86.6258,274.73,96,100,6.78,RU,1730755086
190,minot,48.2325,-101.2963,280.27,53,0,4.12,US,1730754934
191,norrtalje,59.758,18.705,280.38,81,92,4.17,SE,1730754800
192,callaway,30.153,-85.5699,302.15,58,20,6.69,US,1730754956
193,pangody,65.85,74.4859,265.69,95,100,5.63,RU,1730755091
194,margate,51.3813,1.3862,283.54,86,100,0.45,GB,1730755092
195,iquique,-20.2208,-70.1431,292.12,77,32,4.02,CL,1730754974
196,twon-brass,4.3151,6.2418,300.12,82,25,4.59,NG,1730755095
197,georgetown,5.4112,100.3354,299.11,83,20,1.54,MY,1730755097
198,dwarka,22.2394,68.9678,300.72,65,0,3.41,IN,1730755098
199,west island,-12.1568,96.8225,299.14,89,75,5.66,CC,1730754865
200,pisco,-13.7,-76.2167,296.18,64,0,8.75,PE,1730755100
201,east london,-33.0153,27.9116,285.68,86,100,6.89,ZA,1730754917
202,dolores,-36.3132,-57.6792,293.88,69,68,3.16,AR,1730755103
203,kapa'a,22.0752,-159.319,301.33,79,40,6.69,US,1730755104
204,coalinga,36.1397,-120.3602,291.51,21,0,3.7,US,1730755105
205,khandyga,62.6667,135.6,248.17,100,79,0.17,RU,1730755106
206,morshansk,53.4435,41.8107,271.28,83,100,5.62,RU,1730755107
207,edd,13.9297,41.6925,301.63,72,4,3.99,ER,1730754973
208,vilyuchinsk,52.9306,158.4028,264.3,79,72,2.97,RU,1730754907
209,kasongo,-4.45,26.6667,293.49,97,86,1.09,CD,1730755111
210,sungailiat,-1.85,106.1333,298.42,86,98,2.72,ID,1730755112
211,kavaratti,10.5669,72.642,300.56,77,72,2.49,IN,1730755113
212,nar'yan-mar,67.6713,53.087,271.02,96,100,4.15,RU,1730755114
213,adiake,5.2863,-3.304,298.7,86,79,1.87,CI,1730755115
214,nelson bay,-32.7167,152.15,294.31,84,100,4.47,AU,1730755116
215,klaksvik,62.2266,-6.589,283.17,98,100,5.98,FO,1730755118
216,shahrak,34.1074,64.3052,284.2,45,1,2.3,AF,1730755119
217,nemuro,43.3236,145.575,280.52,71,11,11.12,JP,1730755120
218,whitehorse,60.7161,-135.0538,270.98,85,40,0.0,CA,1730755121
219,rabo de peixe,37.8,-25.5833,293.88,99,75,4.12,PT,1730755122
220,ikongo,-21.8833,47.4333,294.68,97,100,0.66,MG,1730755123
221,madimba,-10.4,40.3333,297.98,84,1,3.2,TZ,1730755124
222,maxixe,-23.8597,35.3472,296.03,85,0,3.79,MZ,1730755126
223,luganville,-15.5333,167.1667,298.27,72,100,3.82,VU,1730755127
224,al wajh,26.2455,36.4525,296.12,49,0,2.06,SA,1730755128
225,daru,-9.0763,143.2092,299.55,88,100,6.73,PG,1730755129
226,chetumal,18.5,-88.3,304.18,70,40,5.14,MX,1730755130
227,kampene,-3.6,26.6667,293.28,98,99,0.83,CD,1730755131
